Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
Alabama State House,Alabama State House,32.3770671,-86.2992607,"11 S Union St, Montgomery, AL 36130, USA",Match,Google
Alaska State Capitol,Alaska State Capitol,58.302194,-134.410472,"Alaska State Capitol, Juneau, AK 99801, USA",Match,Google
Arizona State Capitol,Arizona State Capitol,33.4481116,-112.0970839,"1700 W Washington, Phoenix, AZ 85007, USA",Match,Google
Arkansas State Capitol,Arkansas State Capitol,34.7466024,-92.2891612,"500 Woodlane St, Little Rock, AR 72201, USA",Match,Google
California State Capitol,California State Capitol,38.5765162,-121.4932265,"California State Capitol, 1315 10th St, Sacramento, CA 95814, USA",Match,Google
Colorado State Capitol,Colorado State Capitol,39.7393251,-104.9848069,"200 E Colfax Ave, Denver, CO 80203, USA",Match,Google
Connecticut State Capitol,Connecticut State Capitol,41.7637459,-72.6858849,"Connecticut State Capitol Park, Hartford, CT 06106, USA",Match,Google
Delaware Legislative Hall,Delaware Legislative Hall,39.1569207,-75.5213061,"Legislative Ave, Dover, DE 19901, USA",Match,Google
John A. Wilson Building,John A. Wilson Building,38.8949628,-77.031192,"1350 Pennsylvania Ave NW, Washington, DC 20004, USA",Match,Google
Florida State Capitol,Florida State Capitol,30.43806,-84.2828542,"400 S Monroe St, Tallahassee, FL 32399, USA",Match,Google
Georgia State Capitol,Georgia State Capitol,33.7489937,-84.3881106,"206 Washington St SW, Atlanta, GA 30334, USA",Match,Google
Hawaii State Capitol,Hawaii State Capitol,21.3071951,-157.8573977,"Hawaii State Capitol, 415 S Beretania St, Honolulu, HI 96813, USA",Match,Google
Idaho State Capitol,Idaho State Capitol,43.617775,-116.199537,"700 W Jefferson St, Boise, ID 83702, USA",Match,Google
Illinois State Capitol,Illinois State Capitol,39.7984623,-89.6553876,"Illinois State Capitol, Springfield, IL 62756, USA",Match,Google
Indiana Statehouse,Indiana Statehouse,39.7686112,-86.1627015,"200 W Washington St, Indianapolis, IN 46204, USA",Match,Google
Iowa State Capitol,Iowa State Capitol,41.5912022,-93.6036389,"1007 E Grand Ave, Des Moines, IA 50319, USA",Match,Google
Kansas State Capitol,Kansas State Capitol,39.0481533,-95.6780594,"300 SW 10th St, Topeka, KS 66612, USA",Match,Google
Kentucky State Capitol,Kentucky State Capitol,38.186775,-84.875221,"700 Capital Ave, Frankfort, KY 40601, USA",Match,Google
Louisiana State Capitol,Louisiana State Capitol,30.4571189,-91.1874321,"Louisiana State Capitol, Baton Rouge, LA 70802, USA",Match,Google
Maine State House,Maine State House,44.3071738,-69.7818272,"Maine State House, Augusta, ME 04330, USA",Match,Google
Maryland State House,Maryland State House,38.9788285,-76.4909743,"100 State Cir, Annapolis, MD 21401, USA",Match,Google
Massachusetts State House,Massachusetts State House,42.3587772,-71.0638101,"24 Beacon St, Boston, MA 02133, USA",Match,Google
Michigan State Capitol,Michigan State Capitol,42.7336193,-84.5553919,"100 N Capitol Ave, Lansing, MI 48933, USA",Match,Google
